"Part";"Value";"Device";"Package";"Description";"";
"JP17";"DNL";"PINHD-1X2";"1X02";"PIN HEADER";"";
"JP18";"DNL";"PINHD-1X2";"1X02";"PIN HEADER";"";
"MEGA2560PRO1";"DNL";"MEGA2560PRO-EMBED";"MEGA2560PRO-EMBED";"Robotdyn";"";
"PS1";"DNL";"S18V20X";"CONV_S18V20X";"Step-up/Step-Down Voltage Regulators";"";
"Q4";"BSS138";"MOSFET-NCHANNELSMD";"SOT23-3";"";"";
"R2";"10k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R3";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"";
"R4";"2.0k";"2.0KOHM1/10W5%(0603)";"0603-RES";"RES-08296";"";
"R5";"10k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R6";"10k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R7";"10k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R8";"1k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R9";"1k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R10";"1k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R11";"1k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R12";"1k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R13";"330";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R14";"1k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R15";"1k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R16";"330";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R17";"1k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"S1";"EG1218S";"EG1218S";"EG1218";"SLIDING SWITCH";"";
"T1";"BC846";"BC846";"SOT23";"NPN TRANSISTOR";"";
"T2";"BC846";"BC846";"SOT23";"NPN TRANSISTOR";"";
"T3";"BC846";"BC846";"SOT23";"NPN TRANSISTOR";"";
"T4";"BC846";"BC846";"SOT23";"NPN TRANSISTOR";"";
"U1";"MCP73831";"MCP73831";"SOT23-5";"Miniature single cell, fully integrated Li-Ion, Li-polymer charge management controller";"";
"U2";"TB6621FNG";"TB6621FNG";"SSOP24";"Toshiba 1A motor driver";"";
"U3";"TB6621FNG";"TB6621FNG";"SSOP24";"Toshiba 1A motor driver";"";
"U4";"RN42-I/RM630";"BLUETOOTH-RN41"";"RN41";"";"";
"U5";"";"ADXL362";"LGA-16-3X2.5";"Analog Devices ADXL362 3-Axis SPI Accelerometer";"";
"U6";"74HC4050";"HEX_CONVERTER";"SO16";"74HC4050 Hex Buffer";"";
"U7";"";"TMP36GT9";"TO-92";"TMP36 Precision Analog oC Temperature Sensor";"";
